area,freq,lat,lon,address
渋谷,44,35.6619707,139.703795,"Shibuya City, Tokyo, Japan"
池袋,29,35.7348314,139.7077314,"Ikebukuro, Toshima City, Tokyo, Japan"
新宿,25,35.6938253,139.7033559,"Shinjuku City, Tokyo, Japan"
上野,24,35.7087296,139.7741538,"Ueno, Taito City, Tokyo 110-0005, Japan"
飯田橋,17,35.7004584,139.7492367,"Iidabashi, Chiyoda City, Tokyo 102-0072, Japan"
六本木,15,35.6618586,139.7345469,"Roppongi, Minato City, Tokyo 106-0032, Japan"
有楽町,13,35.6745957,139.7620134,"Yurakucho, Chiyoda City, Tokyo 100-0006, Japan"
原宿,11,35.6699682,139.709008,"Harajuku, Jingumae, Shibuya City, Tokyo 150-0001, Japan"
恵比寿,9,35.6461371,139.7153917,"Ebisu, Shibuya City, Tokyo 150-0013, Japan"
根津,9,35.7192296,139.764569,"Nezu, Bunkyo City, Tokyo 113-0031, Japan"
浅草,9,35.7185858,139.7958849,"Asakusa, Taito City, Tokyo 111-0032, Japan"
目黒,9,35.6414529,139.6980773,"Meguro City, Tokyo, Japan"
銀座,8,35.6712228,139.7664859,"Ginza, Chuo City, Tokyo 104-0061, Japan"
日本橋,8,35.6811836,139.7741538,"Nihonbashi, Chuo City, Tokyo 103-0027, Japan"
表参道,8,35.667379,139.7076852,"Japan, Tokyo, 表参道"
大手町,7,35.6870985,139.764569,"Ōtemachi, Chiyoda City, Tokyo 100-0004, Japan"
神宮前,6,35.6699682,139.709008,"Jingumae, Shibuya City, Tokyo 150-0001, Japan"
千代田,6,35.6940309,139.7537719,"Chiyoda City, Tokyo, Japan"
京橋,5,35.6770333,139.7709587,"Kyobashi, Chuo City, Tokyo 104-0031, Japan"
新橋,5,35.6648291,139.7562635,"Shinbashi, Minato City, Tokyo 105-0004, Japan"
中目黒,5,35.6387161,139.7026251,"Nakameguro, Meguro City, Tokyo 153-0061, Japan"
東池袋,5,35.730789,139.7204992,"Higashiikebukuro, Toshima City, Tokyo 170-0013, Japan"
丸の内,4,35.6804062,139.7664859,"Marunouchi, Chiyoda City, Tokyo 100-0005, Japan"
御茶ノ水,4,35.6997175,139.7644404,"Ochanomizu Station, 2-chōme Kanda Surugadai, Chiyoda City, Tokyo 101-0062, Japan"
秋葉原,4,35.7022589,139.7744733,"Akihabara, Taito City, Tokyo 110-0006, Japan"
築地,4,35.6640869,139.7715977,"Tsukiji, Chuo City, Tokyo 104-0045, Japan"
竹橋,4,35.6902225,139.7582927,"Takebashi Station, 1-chōme-1-1 Hitotsubashi, Chiyoda City, Tokyo 100-0001, Japan"
中野,4,35.7056767,139.6694446,"Nakano, Nakano City, Tokyo 164-0001, Japan"
南千住,4,35.7344058,139.8009993,"Minamisenju, Arakawa City, Tokyo 116-0003, Japan"
文京,4,35.7078686,139.7524369,"Bunkyo City, Tokyo, Japan"
荻窪,3,35.6992855,139.6222585,"Ogikubo, Suginami City, Tokyo 167-0051, Japan"
宮前,3,35.6931202,139.606963,"Miyamae, Suginami City, Tokyo 168-0081, Japan"
港,3,35.6580813,139.7515077,"Minato City, Tokyo, Japan"
高田馬場,3,35.7121396,139.7026251,"Takadanobaba, Shinjuku City, Tokyo 169-0075, Japan"
高輪,3,35.634308,139.7345469,"Takanawa, Minato City, Tokyo 108-0074, Japan"
山王,3,35.5888694,139.72433,"Sanno, Ota City, Tokyo 143-0023, Japan"
新木場,3,35.6390004,139.8265777,"Shinkiba, Koto City, Tokyo 136-0082, Japan"
千駄木,3,35.7271874,139.7600967,"Sendagi, Bunkyo City, Tokyo 113-0022, Japan"
湯島,3,35.7056554,139.7664859,"Yushima, Bunkyo City, Tokyo 113-0034, Japan"
日本橋人形,3,35.6852807,139.7843792,"Nihonbashiningyocho, Chuo City, Tokyo 103-0013, Japan"
墨田,3,35.7107479,139.8016393,"Sumida City, Tokyo, Japan"
